Iteration,Load Factor,Servers,Customers,Mean Wait Time
12,0.75,1,30000,3.0863850603681815
12,0.75,1,40000,2.960727275734791
13,0.75,1,100,1.059363761692834
13,0.75,1,200,1.985387384598685
13,0.75,1,300,1.8345423157734755
13,0.75,1,400,3.1650491927941125
13,0.75,1,500,2.9521014521535993
13,0.75,1,600,2.7321723065743875
13,0.75,1,700,2.4652045621932697
13,0.75,1,800,2.3070525121602605
13,0.75,1,900,2.421290505618543
13,0.75,1,1000,2.535893090064956
13,0.75,1,2000,2.8226236451865496
13,0.75,1,3000,2.539645160269147
13,0.75,1,4000,2.8201553327117623
13,0.75,1,5000,2.777725326072407
13,0.75,1,6000,2.727379122053163
13,0.75,1,7000,2.8876770383130186
13,0.75,1,8000,2.9758361537081344
13,0.75,1,9000,2.9326309924149263
13,0.75,1,10000,2.9180780193567752
13,0.75,1,20000,3.066217466979576
13,0.75,1,30000,2.9667999665256715
13,0.75,1,40000,2.9285253810073204
14,0.75,1,100,1.2709152561922423
14,0.75,1,200,1.7881801831550588
14,0.75,1,300,2.7469040977508454
14,0.75,1,400,3.068093232525963
14,0.75,1,500,2.7598000403236456
14,0.75,1,600,2.7999797391808663
14,0.75,1,700,2.5784493310642684
14,0.75,1,800,2.4575407733105696
14,0.75,1,900,2.3137957610769613
14,0.75,1,1000,2.2254686135558646
14,0.75,1,2000,2.4313863702521776
14,0.75,1,3000,2.420020349181787
14,0.75,1,4000,2.5990044066948603
14,0.75,1,5000,2.6090269126537704
14,0.75,1,6000,2.6734687850036267
14,0.75,1,7000,2.606344177413518
14,0.75,1,8000,2.7288254266266803
14,0.75,1,9000,2.7294240138534525
14,0.75,1,10000,3.0477800348712334
14,0.75,1,20000,2.8163772036916344
14,0.75,1,30000,3.042927138929945
14,0.75,1,40000,3.1286685576721416
15,0.75,1,100,1.4025284386478507
15,0.75,1,200,2.093134273531006
15,0.75,1,300,2.118581852043142
15,0.75,1,400,2.1666267882619845
15,0.75,1,500,2.111768653068964
15,0.75,1,600,2.140848112943153
15,0.75,1,700,2.517363862128268
15,0.75,1,800,2.706964283130715
15,0.75,1,900,2.991541071239834
15,0.75,1,1000,2.8143375539832367
15,0.75,1,2000,3.025053963005989
15,0.75,1,3000,2.974398773603248
15,0.75,1,4000,2.9656776078236855
15,0.75,1,5000,2.8739497459001333
15,0.75,1,6000,3.0936375491540002
15,0.75,1,7000,3.1989757016568
15,0.75,1,8000,3.1951224354388623
15,0.75,1,9000,3.156105021608547
15,0.75,1,10000,3.019688236266979
15,0.75,1,20000,3.1937302838771493
15,0.75,1,30000,2.9633342434814436
15,0.75,1,40000,2.9837602567132846
16,0.75,1,100,2.9751240292786125
16,0.75,1,200,2.0694051932824067
16,0.75,1,300,2.1747013014076426
16,0.75,1,400,1.8780684828214746
16,0.75,1,500,2.3234113530365614
16,0.75,1,600,2.155839048264674
16,0.75,1,700,2.187546104863739
16,0.75,1,800,2.0683084231455062
16,0.75,1,900,2.052575899256572
16,0.75,1,1000,2.1555086718232515
16,0.75,1,2000,2.2133643769950058
16,0.75,1,3000,2.3653943068476115
16,0.75,1,4000,2.4094385299767564
16,0.75,1,5000,2.58215666860175
16,0.75,1,6000,3.2161281553268424
16,0.75,1,7000,3.142442368961406
16,0.75,1,8000,3.2254032119462197
16,0.75,1,9000,3.1731667820142233
16,0.75,1,10000,3.108123005517817
16,0.75,1,20000,2.7809908398023717
16,0.75,1,30000,2.9203584130643625
16,0.75,1,40000,2.9822511499126887
17,0.75,1,100,2.0633794392617615
17,0.75,1,200,3.707927644049779
17,0.75,1,300,3.9826902275235434
17,0.75,1,400,3.546111028864071
17,0.75,1,500,2.9896909641317118
17,0.75,1,600,2.749133378501194
17,0.75,1,700,2.711539822057904
17,0.75,1,800,2.7083828268883905
17,0.75,1,900,2.964165583353924
17,0.75,1,1000,3.166133269412292
17,0.75,1,2000,2.8535182137105033
17,0.75,1,3000,2.910773548440255
17,0.75,1,4000,3.038062814071697
17,0.75,1,5000,2.9573683138577262
17,0.75,1,6000,2.840884879522284
17,0.75,1,7000,3.044743564103657
17,0.75,1,8000,2.9407738885464103
17,0.75,1,9000,2.8416914171457126
17,0.75,1,10000,2.901182565301411
17,0.75,1,20000,2.9421423146434718
17,0.75,1,30000,2.8735200673832875
17,0.75,1,40000,2.9678264240922605
18,0.75,1,100,1.8564310121211027
18,0.75,1,200,1.6268219187079973
18,0.75,1,300,1.5815089629063588
18,0.75,1,400,1.504867285593279
18,0.75,1,500,1.3760311411958888
18,0.75,1,600,1.3173407717813874
18,0.75,1,700,1.6114788985725785
18,0.75,1,800,1.7208084471459961
18,0.75,1,900,1.6476113009982494
18,0.75,1,1000,1.558939220956006
18,0.75,1,2000,2.002020557684638
18,0.75,1,3000,2.2267003631541766
18,0.75,1,4000,2.476537325584808
18,0.75,1,5000,2.861921636748463
18,0.75,1,6000,2.948470740955163
18,0.75,1,7000,3.01640007575239
18,0.75,1,8000,2.9544985860550304
18,0.75,1,9000,2.873805089757077
18,0.75,1,10000,2.906531841039355
18,0.75,1,20000,3.323377377868531
18,0.75,1,30000,3.1819711833226623
18,0.75,1,40000,3.1943914160018534
19,0.75,1,100,3.230685883593464
19,0.75,1,200,2.154202076278641
19,0.75,1,300,1.952761793114923
19,0.75,1,400,2.2889831306315744
19,0.75,1,500,2.3486956771989864
19,0.75,1,600,2.25180454235584
19,0.75,1,700,2.294114445317986
19,0.75,1,800,2.751712661328578
19,0.75,1,900,2.707220477863025
19,0.75,1,1000,2.8909853283556157
19,0.75,1,2000,2.7202383588770647
19,0.75,1,3000,2.9026255177500486
19,0.75,1,4000,3.0270319667512506
19,0.75,1,5000,3.342418164909551
19,0.75,1,6000,3.3874864400694182
19,0.75,1,7000,3.1730322812980263
19,0.75,1,8000,3.0333425419240885
19,0.75,1,9000,2.9622393100327353
19,0.75,1,10000,2.8373306642825886
19,0.75,1,20000,2.926155588821389
19,0.75,1,30000,2.945010552877342
19,0.75,1,40000,3.004665573483825
20,0.75,1,100,1.131583051248188
20,0.75,1,200,1.6478161507350466
20,0.75,1,300,1.6995869610215029
20,0.75,1,400,2.40926432147618
20,0.75,1,500,2.5679142077190447
20,0.75,1,600,2.2770643194907763
20,0.75,1,700,2.213223140301127
20,0.75,1,800,2.2522702231552727
20,0.75,1,900,2.214567374894845
20,0.75,1,1000,2.114194925694992
20,0.75,1,2000,2.4717581767175827
20,0.75,1,3000,2.8279900252597394
20,0.75,1,4000,2.8021887732274586
20,0.75,1,5000,3.1526808609949803
20,0.75,1,6000,3.151888061480092
20,0.75,1,7000,3.045831554719917
20,0.75,1,8000,2.9184536310713916
20,0.75,1,9000,2.902759573744982
20,0.75,1,10000,2.897859903708319
20,0.75,1,20000,2.8415504367081454
20,0.75,1,30000,2.7795543605972
20,0.75,1,40000,2.8130963343947397
21,0.75,1,100,0.5654083307711779
21,0.75,1,200,1.187775430644097
21,0.75,1,300,1.7032902624718338
21,0.75,1,400,2.0032832248078343
21,0.75,1,500,2.345290524475364
21,0.75,1,600,2.439014220338112
21,0.75,1,700,2.2676355150720675
21,0.75,1,800,2.6706037531952775
21,0.75,1,900,2.5077682889964077
21,0.75,1,1000,2.356335065678315
21,0.75,1,2000,2.208218766935727
21,0.75,1,3000,2.3089630192213
21,0.75,1,4000,2.645167412748782
21,0.75,1,5000,2.6070550916893
21,0.75,1,6000,3.0088165979258736
21,0.75,1,7000,3.0703207783714355
21,0.75,1,8000,3.137444062735164
21,0.75,1,9000,3.1010117523938083
21,0.75,1,10000,3.144204531062692
21,0.75,1,20000,3.0113168906873273
21,0.75,1,30000,2.995151315499705
21,0.75,1,40000,2.9192954423464594
22,0.75,1,100,1.0203145879135784
22,0.75,1,200,0.8877815169502193
22,0.75,1,300,2.2941488047551926
22,0.75,1,400,3.216581479204361
22,0.75,1,500,2.73244416650742
22,0.75,1,600,2.557362229092618
22,0.75,1,700,2.515616535348873
22,0.75,1,800,2.381013551536885
22,0.75,1,900,2.247454526883899
22,0.75,1,1000,2.725532989313966
22,0.75,1,2000,3.285832035480374
22,0.75,1,3000,3.0797081284720194
22,0.75,1,4000,3.7668515616978606
22,0.75,1,5000,3.706055968760913
22,0.75,1,6000,3.579230362015529
22,0.75,1,7000,3.3853619149022176
22,0.75,1,8000,3.256816679952306
22,0.75,1,9000,3.187870642903661
22,0.75,1,10000,3.102031476051163
22,0.75,1,20000,3.0890177500922653
22,0.75,1,30000,2.9789064559925715
22,0.75,1,40000,2.882784677501436
23,0.75,1,100,1.6140488945014821
23,0.75,1,200,1.564824544829908
23,0.75,1,300,1.6098067871180322
23,0.75,1,400,2.056229812521036
23,0.75,1,500,2.230036404537675
23,0.75,1,600,3.9383137873375897
23,0.75,1,700,3.698497196289952
23,0.75,1,800,3.584407887276198
23,0.75,1,900,4.030606916357565
23,0.75,1,1000,3.7176928552222375
23,0.75,1,2000,3.115381556131645
23,0.75,1,3000,2.749790856057379
23,0.75,1,4000,2.649235384809545
23,0.75,1,5000,2.4961971595217847
23,0.75,1,6000,2.696414053580204
23,0.75,1,7000,2.683982668611551
23,0.75,1,8000,2.791753977724352
23,0.75,1,9000,2.8020127230710936
23,0.75,1,10000,2.9197497841195807
23,0.75,1,20000,3.2778229152571674
23,0.75,1,30000,3.086252968709208
23,0.75,1,40000,3.1319791321810966
24,0.75,1,100,1.5301145013611739
24,0.75,1,200,1.9521665695865316
24,0.75,1,300,2.7396613610311618
24,0.75,1,400,3.6682292288430536
24,0.75,1,500,3.1968866123594943
24,0.75,1,600,3.1906604014835973
24,0.75,1,700,3.5322238766410337
24,0.75,1,800,3.2944406748975217
24,0.75,1,900,3.1288487179812954
24,0.75,1,1000,3.2448947180835948
24,0.75,1,2000,3.26311470759415
24,0.75,1,3000,3.279188647369399
24,0.75,1,4000,3.119130785437525
24,0.75,1,5000,3.5255650679812613
24,0.75,1,6000,3.670803224957359
24,0.75,1,7000,3.6085507824416783
24,0.75,1,8000,3.53397854008582
